Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts▼,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,-9999
347,Angus Gunn,eng ENG,GK,Norwich City,25,1996,9,9,810,9.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,e082af5b
348,Rob Holding,eng ENG,DF,Arsenal,25,1995,15,9,845,9.4,1,0,1,0,0,4,1,0.4,0.4,0.0,0.4,d79a8c87
349,Edo Kayembe,cd COD,MF,Watford,23,1998,13,9,799,8.9,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,f99b71de
350,Lyanco,br BRA,DF,Southampton,24,1997,15,9,911,10.1,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,b5bf1770
351,Luka Milivojević,rs SRB,MF,Crystal Palace,30,1991,15,9,774,8.6,0,0,0,0,0,1,0,0.4,0.4,0.9,1.2,2ce2508a
352,James Milner,eng ENG,MFDF,Liverpool,35,1986,24,9,853,9.5,0,1,0,0,0,2,0,0.4,0.4,2.4,2.8,2f90f6b8
353,Jeremy Ngakia,eng ENG,DF,Watford,20,2000,16,9,903,10.0,0,0,0,0,0,0,0,0.1,0.1,0.6,0.8,3631ad41
354,Alex Oxlade-Chamberlain,eng ENG,MFFW,Liverpool,27,1993,17,9,785,8.7,2,1,2,0,0,0,0,1.4,1.4,1.1,2.5,38c7feef
355,Jack Stephens,eng ENG,DF,Southampton,27,1994,11,9,811,9.0,0,0,0,0,0,3,0,0.0,0.0,0.5,0.5,6adbc307
356,Kostas Tsimikas,gr GRE,DF,Liverpool,25,1996,13,9,877,9.7,0,2,0,0,0,3,0,0.8,0.8,2.8,3.7,f315ca93
357,Harry Winks,eng ENG,MF,Tottenham,25,1996,19,9,912,10.1,0,1,0,0,0,2,0,0.2,0.2,1.5,1.7,2f7acede
358,Dele Alli,eng ENG,MF,Tottenham,25,1996,10,8,657,7.3,1,0,0,1,1,1,0,1.6,0.8,0.2,1.0,cea4ee8f
359,Ashley Barnes,eng ENG,FW,Burnley,31,1989,23,8,808,9.0,1,0,0,1,1,4,0,2.3,1.5,0.8,2.3,2691c772
360,Jack Butland,eng ENG,GK,Crystal Palace,28,1993,9,8,765,8.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,cc70a1d5
361,Moisés Caicedo,ec ECU,MF,Brighton,19,2001,8,8,660,7.3,1,1,1,0,0,2,0,1.0,1.0,0.4,1.4,16264a81
362,Karl Darlow,eng ENG,GK,Newcastle Utd,30,1990,8,8,720,8.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,cde3309f
363,Fabian Delph,eng ENG,MF,Everton,31,1989,11,8,662,7.4,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,111c3236
